CCAA,Acumulados,Ultimas 24h,Incidencia
Andalucia,5405,723,57.65
Aragon,2078,220,144.32
Asturias,1158,70,95.91
Baleares,1000,42,80.65
Canarias,1204,79,50.39
Cantabria,1100,77,179.32
Castilla La Mancha,5858,612,260.27
Castilla y LeÃ³n,5801,387,227.83
Cataluña,16157,1131,198.74
Ceuta,25,4,28.31
C. Valenciana,5110,326,93.95
Extremadura,1560,104,135.71
Galicia,3723,584,128.84
Madrid,24090,1413,299.02
Melilla,51,3,49.72
Murcia,939,67,57.70
Navarra,2146,135,286.14
PaÃis Vasco,6057,317,245.81
La Rioja,1733,104,448.55
